,1,2,3,4,5,6,7,8,9
C,32.7,65.4,130.81,261.6,523.3,1046.5,2093,4186,8367.01
"Csharp,Dflat",34.6,69.3,138.6,277.2,554.4,1108.7,2217.4,4434.81,
D,36.7,73.41,146.8,293.7,587.3,1174.61,2349.2,4698.4,
"Dsharp,Eflat",38.9,77.8,155.6,311.1,622.3,1244.5,2489.01,4978,
E,41.21,82.4,164.8,329.61,659.3,1318.5,2637,5274,
F,43.7,87.3,174.61,349.3,698.5,1397,2794,5588,
"Fsharp,Gflat",46.3,92.5,185,370,740,1480,2960,5920,
G,49,98.01,196,392,784,1568,3136,6272,
"Gsharp,Aflat",51.9,103.8,207.7,415.3,830.6,1661.2,3322.41,6644.8,
A,55.01,110,220,440.01,880,1760,3520,7040,
"Asharp,Bflat",58.3,116.5,233.1,466.2,932.3,1864.6,3729.2,7458.4,
B,61.7,123.5,246.9,493.91,987.8,1975.5,3951,7902.01,
